Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0KoovVK2RQkCMEkKGP50WF,"Gör mig lycklig nu","Himlen Gråter För Elmore James","Mats Ronander;Kim Larsen",1992-03-05,208159,37,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop,bisrock,dansk pop,dansktop","WM Sweden",0.695,0.909,9,-3.68,1,0.0266,0.00947,0.00219,0.148,0.836,124.988,4
spotify:track:2JzZzZUQj3Qff7wapcbKjc,"See You Again (feat. Charlie Puth)","See You Again (feat. Charlie Puth)","Wiz Khalifa;Charlie Puth",2015,229525,84,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"rap,soft pop,pop","Atlantic Records",0.689,0.481,10,-7.503,1,0.0815,0.369,0.00000103,0.0649,0.283,80.025,4
spotify:track:3WkibOpDF7cQ5xntM1epyf,"It Wasn't Me","Hot Shot","Shaggy;Rik Rok",2000-08-08,227600,82,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"reggae,dancehall,riddim,lovers rock,ragga","Geffen",0.853,0.606,0,-4.596,1,0.072,0.0561,0,0.313,0.653,94.753,4
spotify:track:78TVWUTtCC4WAhi0SRPxQK,"O Sole Mio","The Gramophone Classics, Vol. 1","Enrico Caruso",2011-10-24,212000,32,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"opera,canzone napoletana","Uni-folk",0.233,0.37,7,-11.029,1,0.0454,0.991,0.0000566,0.679,0.205,84.488,4
spotify:track:3LtMBKsXoskeJhUvqMsgRh,"Ain't No Mountain High Enough","20th Century Masters: The Millennium Collection: The Best Of Marvin Gaye & Tammi Terrell","Marvin Gaye;Tammi Terrell",2000-04-11,149066,32,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"motown,classic soul,soul,northern soul,quiet storm","UNI/MOTOWN",0.672,0.807,4,-7.574,0,0.063,0.277,0.00000119,0.147,0.78,129.257,4
spotify:track:66Bzmhj4cOinK5bxjx5DAK,"Release Me","A Song Inside My Head, A Demon In My Bed","Oh Laura",2007-05-23,184935,44,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop","Cosmos Records",0.644,0.334,8,-10.866,1,0.0299,0.717,0.0000471,0.114,0.286,120.126,4
spotify:track:21BYhl07wWqGRQaj7sUxdV,"Heroes","Perfectly Damaged","Måns Zelmerlöw",2015-06-03,190613,50,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","WM Sweden",0.484,0.791,7,-4.27,1,0.0437,0.0743,0,0.0491,0.369,124.008,4
spotify:track:63xdwScd1Ai1GigAwQxE8y,"Let's Stay Together","Let's Stay Together","Al Green",1972,199396,79,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"soul,classic soul,motown,soul blues","Fat Possum",0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,4
spotify:track:5YLnfy7R2kueN0BRPkjiEG,"I'll Take You There","The Very Best Of The Staple Singers","The Staple Singers",2007-01-01,196826,63,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"soul,motown,classic soul","Stax",0.846,0.595,0,-8.372,1,0.0439,0.0904,0.00000196,0.063,0.78,101.632,4
spotify:track:3zBhihYUHBmGd2bcQIobrF,"(Sittin' On) the Dock of the Bay","The Dock of the Bay (Mono)","Otis Redding",1968,163755,78,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"motown,soul,classic soul,soul blues","Rhino Atlantic",0.768,0.367,2,-11.226,1,0.0315,0.683,0.0000179,0.081,0.532,103.621,4
spotify:track:0NpvdCO506uO58D4AbKzki,"Sherry","The Very Best of Frankie Valli & The 4 Seasons","Frankie Valli & The Four Seasons",2003-01-14,152160,52,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"doo-wop,northern soul,motown","Rhino",0.703,0.478,7,-8.062,1,0.0441,0.626,0,0.113,0.734,117.562,4
spotify:track:5X6VbizePQKSnt55YWWyGS,"The Lion Sleeps Tonight","Both Sides Now","The Tokens",1970-01-01,153653,55,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"doo-wop","Buddah/Legacy",0.551,0.362,5,-13.443,1,0.0388,0.654,0.000264,0.126,0.865,125.865,4
spotify:track:5uES1C2NgkdrNHiCwf9jRr,"Baby Love","Where Did Our Love Go","The Supremes",1964-08-31,158040,66,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"motown,northern soul,classic soul,soul","Motown",0.595,0.643,5,-9.275,1,0.0365,0.757,0,0.538,0.731,135.633,4
spotify:track:3VgrSJEKBRT3xmwzpaxxEF,"(Love Is Like A) Heat Wave","Heat Wave","Martha Reeves & The Vandellas",1963,163053,57,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"motown,northern soul,classic soul,soul","UNI/MOTOWN",0.514,0.624,0,-9.287,0,0.0842,0.513,0.00517,0.307,0.755,166.726,4
spotify:track:5ElGiMyHp9S4jC1XTuTwzG,"When All The Saints Come Marching In (Take 2)","Paramount Jubilee Singers & Taskiana Four (1923-1928)","Paramount Jubilee Singers",2005-06-28,189283,6,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","Document Records",0.373,0.219,0,-16.645,0,0.0333,0.996,0.109,0.316,0.369,80.188,4
spotify:track:5ubvP9oKmxLUVq506fgLhk,"Stayin Alive","How Can You Mend A Broken Heart","Bee Gees",2020-12-11,285373,74,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"disco","UME - Global Clearing House",0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,4
spotify:track:1cx7kDfiHlvQWwPRNxQrfQ,"No One Dies From Love","Dirt Femme","Tove Lo",2022-10-14,186018,0,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","Pretty Swede Records / mtheory",0.653,0.805,0,-6.629,1,0.0569,0.0726,0,0.273,0.351,121.097,4
spotify:track:5Ls1Ir6Vl5frICvnH4nVRH,"Giftig","Känslan kommer tillbaks","Mange Schmidt",2007-01-01,229906,30,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop","Mange Schmidt",0.793,0.758,1,-4.342,1,0.191,0.0322,0,0.08,0.702,98.309,4
spotify:track:1qCQTy0fTXerET4x8VHyr9,"What A Wonderful World","What A Wonderful World","Louis Armstrong",1968,137520,1,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"jazz,swing music,vocal jazz,big band,jazz blues","Geffen*",0.399,0.258,5,-16.028,1,0.033,0.792,0.00000186,0.128,0.192,108.174,3
spotify:track:6qUEOWqOzu1rLPUPQ1ECpx,"Walk This Way (feat. Aerosmith)","Raising Hell","Run–D.M.C.;Aerosmith",1986-05-15,310375,66,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"old school hip hop,east coast hip hop,hip hop,classic rock,rock","Arista",0.761,0.711,9,-7.989,1,0.0604,0.0174,0.000101,0.0652,0.947,105.448,4
spotify:track:0eifvmNPHWaSh4IKNR4Xva,"To Be With You - 2021 Remastered","Lean Into It (30th Anniversary Edition)","Mr. Big",1991,208080,70,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"glam metal","evoxs",0.688,0.284,4,-13.577,1,0.0574,0.359,0,0.127,0.482,83.433,4
spotify:track:5Hroj5K7vLpIG4FNCRIjbP,"Best Day Of My Life","Oh, What A Life","American Authors",2014-01-01,194240,79,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","Island Records",0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000227,0.0558,0.536,100.012,4
spotify:track:7nm8w9dMwTjlWDosdnxBSn,"Video Killed The Radio Star - Single Version","Video Killed The Radio Star / Kid Dynamo","The Buggles",2009-01-01,197906,56,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","Universal Music Group International",0.742,0.788,1,-10.803,1,0.0669,0.0862,0.00768,0.292,0.514,130.849,4
spotify:track:7FXj7Qg3YorUxdrzvrcY25,"Fly Me To The Moon - 2008 Remastered","Nothing But The Best (2008 Remastered)","Frank Sinatra;Count Basie",2008-05-13,147520,68,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.62,0.298,4,-12.269,0,0.0594,0.545,0.00000233,0.0797,0.375,119.763,4
spotify:track:0UOxp1BpnD8uPQMKU4wKjz,"I Shot The Sheriff","461 Ocean Blvd. (Deluxe Edition)","Eric Clapton",1974-07-01,263746,66,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"blues,blues rock,classic rock","Polydor",0.73,0.639,7,-11.025,0,0.0524,0.0853,0.00221,0.102,0.658,94.395,4
spotify:track:5vd1QZ0tdXOExiegC55IAS,"Heart Of Gold","Eat, Pray, Love","Neil Young",2010-01-01,188440,57,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"classic rock,folk rock,singer-songwriter,roots rock","Universal-Island Records Ltd.",0.55,0.525,7,-8.754,1,0.0275,0.288,0.0172,0.106,0.806,171.172,4
spotify:track:6RtPijgfPKROxEzTHNRiDp,"Rude","Don't Kill the Magic","MAGIC!",2014-06-25,224849,85,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","Latium Records/RCA Records",0.773,0.758,1,-4.993,1,0.0381,0.0422,0,0.305,0.925,144.033,4
spotify:track:5vYA1mW9g2Coh1HUFUSmlb,"3AM","Yourself or Someone Like You","Matchbox Twenty",1996-10-01,225946,73,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"post-grunge","Lava/Atlantic",0.521,0.673,8,-8.685,1,0.0284,0.00573,0,0.12,0.543,108.031,4
spotify:track:3AC8WrZdwW6bycdNtm15fD,"How Will I Know (Who You Are)","Jessica","Jessica Folcker",1998-11-19,216440,49,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","Sony Music UK",0.495,0.72,5,-6.716,1,0.0328,0.362,0,0.0986,0.511,203.805,4
spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,"Drops of Jupiter (Tell Me)","Drops Of Jupiter","Train",2001-03-27,259933,83,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"soft pop","Columbia/Legacy",0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,4
spotify:track:0DaOFUhUEc416QdUaW9paE,"Absolutely Everybody","The Power (15 Year Anniversary Re-issue)","Vanessa Amorosi",2000-04-03,224600,52,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","CBK Productions",0.67,0.955,1,-4.979,1,0.0858,0.289,0,0.124,0.857,122.975,4
spotify:track:6mhw2fEPH4fMF0wolNm96e,"Macarena","Hits Of The 90s","Los Del Rio",2002-05-20,222626,68,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","RCA Camden",0.739,0.888,8,-7.16,0,0.0576,0.199,0,0.0704,0.955,103.186,4
spotify:track:5OwH2YXbDrU5HOIyZDRFtg,"Oh boy","Bästa","Peps Persson",2004-01-01,243026,41,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop","Universal Music AB",0.86,0.828,10,-4.245,1,0.0849,0.197,0,0.161,0.96,112.542,4
spotify:track:1AfdWCYXaJHzHWsgGVkjhe,"Mister Cool","Vi vet inte vart vi ska men vi ska komma dit","Snook",2004-01-01,187320,54,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop","MNW Music AB",0.747,0.877,7,-3.14,1,0.0744,0.0481,0,0.126,0.749,126.505,4
spotify:track:0WGn8xhpPumX73lECUY5Yo,"Everybody Get Up - Radio Edit","Let's Dance","Five",2001-01-16,183733,56,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","RCA Camden",0.724,0.867,0,-5.913,1,0.08,0.00145,0,0.135,0.681,96.015,4
spotify:track:4vfzROmNsxedKICcHod5Rh,"Here Comes the Hotstepper","On Your 90's Radio","iNi Kamoze",2001-01-01,244813,54,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"reggae,roots reggae","Columbia",0.852,0.537,7,-7.424,1,0.114,0.0328,0.000248,0.229,0.483,100.369,4
spotify:track:1SssFw74DdHVjRa6ADggdD,"Sweat (A La La La La Long)","Blazzin' Fire","Inner Circle",2010-12-14,227067,3,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"reggae,roots reggae","DubShot Records/Sound Bwoy Entertainment",0.787,0.728,0,-7.705,1,0.218,0.0124,0,0.157,0.94,173.026,4
